Game,CS(5mins),CS(10mins),CS(15mins),CS(20mins),CS(25 mins),Total CS,Opp. CS,End Time,Barons,Reg. Wards,Control Wards,Vision Score,Opp. Vision Score,Gold,Dragons,Kills,Deaths,Assists,Support Deaths,Support Kills,Total Team Kills,Total Team Deaths,Team Obj. Damage,Objective Damage,Damage Done,Damage Received,Team Damage Done,Result
1,27,52,81,106,128,206,248,38:38:00,1,14,3,40,23,14863,2,10,8,15,11,9,55,34,83573,12845,28587,22851,142679,W
2,32,64,100,118,144,174,168,30:06:00,0,10,1,24,17,9269,1,1,4,6,6,2,18,21,31330,11751,11175,15294,62219,L
3,25,50,88,122,160,173,152,33:58:00,0,22,1,26,18,13040,3,10,9,5,6,1,22,40,38740,1501,23029,26486,66807,L
4,24,48,74,107,152,195,143,32:38:00,1,11,1,22,15,15173,3,13,10,10,13,3,33,43,66552,21097,36960,23156,98464,L
5,30,64,96,146,NaN,146,45,20:11,0,7,1,22,1,10141,2,9,0,3,1,2,28,5,55184,14275,12321,9732,48041,W
6,17,44,70,110,133,190,191,34:53:00,1,12,1,25,31,18007,4,19,9,10,4,4,42,29,69016,18681,42680,26567,111225,W
7,31,64,96,124,NaN,127,116,23:11:00,1,6,0,11,8,8750,1,2,2,8,1,5,23,17,57169,10293,13933,8915,54028,W
8,20,64,93,124,NaN,138,135,22:56,0,7,1,15,13,7461,2,2,4,1,3,1,17,12,39527,3481,11530,9642,55613,W
9,31,70,99,108,NaN,113,65,21:25,0,4,2,11,11,9549,2,9,4,6,2,0,30,20,48275,8182,22238,11527,74886,W
10,32,69,106,147,176,226,227,35:46:00,1,11,1,20,21,12699,4,4,9,4,6,2,23,32,73479,12283,20804,21008,99001,L
