Tier,CSperMin,kdaRatio,killPart,damageShare,visionPerHour,killConversionRatio,objectiveCtrlRatio,damagePerDeath,utilityScore,earlyCsAdvantage,Win Rate
me(avg),5.7,2.84,55.5,29.7,40.5,31.4,49.8,4645,35.9,21.9,52
me(best),7.8,18,79.5,45.4,63.2,64,85.7,24203,54.7,51,na
me(worst),4.3,0.75,17.6,16.2,22.4,0,0,1658,22,-17,na
iron,4.1,1.82,37.4,16.1,22.4,23,35.3,2207,17.3,-10.2,na
bronze,4.7,2.48,45.1,21.1,27.1,24.4,40.3,3245,22.7,-0.4,na
silver,5.4,2.7,47.4,22.7,31.1,26.3,42.7,3643,25.2,0.6,na
gold,6.1,2.81,48.8,23.6,34.9,27.9,44.9,3909,26.5,1.3,na
platinum,6.5,2.86,49.8,24.3,37.7,28.7,46.5,4051,26.6,1.4,na
diamond,6.8,2.82,50.1,24.1,40.2,28.3,47.1,4003,25.4,1.3,na
master,7.1,2.75,50.2,24.1,43.1,27.6,47.5,3871,23.7,-1.2,na
grandmaster,7.6,2.89,52.7,24.2,44.9,32.9,46.3,4169,23.5,6.7,na
challenger,7.6,2.68,51,24.7,44.1,26.8,44.9,3827,24.3,2.2,na
xayahAvg,6.211111111,2.645555556,48.05555556,22.76666667,36.16666667,27.32222222,43.94444444,3658.333333,23.91111111,0.188888889,48.54
expert1,7.3,2.66,53.2,25.7,24.8,30.3,40.9,3491,22.1,12.7,58
expert2,7.6,3.26,52.3,24,48.5,26.9,49.6,4439,24.1,5.2,50
expert3,7.2,2.53,58,26,36,22.5,48.5,3581,31.3,-1.3,56
