Game,CS(5mins),CS(10mins),CS(15mins),CS(20mins),CS(25 mins),Total CS,csPerMin,Opp. CS,OcsPerMin,minutes,Barons,Reg. Wards,Control Wards,Vision Score,Opp. Vision Score,Gold,Dragons,Kills,Deaths,Assists,Support Deaths,Support Kills,Total Team Kills,Total Team Deaths,Team Obj. Damage,Objective Damage,Damage Done,Damage Received,Team Damage Done,Result
1,27,52,81,106,128,206,5.33,248,6.42,38.63,1,14,3,40,23,14863,2,10,8,15,11,9,55,34,83573,12845,28587,22851,142679,1
2,32,64,100,118,144,174,5.78,168,5.58,30.1,0,10,1,24,17,9269,1,1,4,6,6,2,18,21,31330,11751,11175,15294,62219,0
3,25,50,88,122,160,173,5.09,152,4.47,33.96,0,22,1,26,18,13040,3,10,9,5,6,1,22,40,38740,1501,23029,26486,66807,0
4,24,48,74,107,152,195,5.97,143,4.38,32.63,1,11,1,22,15,15173,3,13,10,10,13,3,33,43,66552,21097,36960,23156,98464,0
5,30,64,96,146,NaN,146,7.23,45,2.16,20.18,0,7,1,22,1,10141,2,9,0,3,1,2,28,5,55184,14275,12321,9732,48041,1
6,17,44,70,110,133,190,5.44,191,5.47,34.88,1,12,1,25,31,18007,4,19,9,10,4,4,42,29,69016,18681,42680,26567,111225,1
7,31,64,96,124,NaN,127,5.47,116,5,23.18,1,6,0,11,8,8750,1,2,2,8,1,5,23,17,57169,10293,13933,8915,54028,1
8,20,64,93,124,NaN,138,6.01,135,5.88,22.93,0,7,1,15,13,7461,2,2,4,1,3,1,17,12,39527,3481,11530,9642,55613,1
9,31,70,99,108,NaN,113,5.27,65,3.03,21.41,0,4,2,11,11,9549,2,9,4,6,2,0,30,20,48275,8182,22238,11527,74886,1
10,32,69,106,147,176,226,6.31,227,6.34,35.76,1,11,1,20,21,12699,4,4,9,4,6,2,23,32,73479,12283,20804,21008,99001,0
